Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,5000,3132,4375.80,4904,0,0.00,0,0.40,0.62,0.93,0.00
1.00,2.00,0.80,0.40,5000,3152,4220.00,4874,0,0.00,0,0.49,0.65,0.90,0.00
1.00,2.00,0.80,1.00,5000,3935,4557.10,4923,0,0.00,0,0.43,0.69,1.01,0.00
1.00,2.00,0.80,0.70,5000,958,4086.40,4903,0,0.00,0,0.50,0.74,1.03,0.00
1.00,2.00,0.80,0.80,5000,1366,3974.40,4999,0,0.00,0,0.40,0.79,1.44,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.30,5000,2192,3766.80,4542,0,0.00,0,0.52,0.89,1.62,0.00
1.00,2.00,0.80,0.60,5000,2828,4066.50,4910,0,0.00,0,0.53,0.89,1.34,0.00
1.00,2.00,0.80,0.10,5000,3073,4554.30,4986,0,0.00,0,0.62,0.95,1.43,0.00
1.00,2.00,0.80,0.50,5000,3169,4263.90,4721,0,0.00,0,0.46,0.99,1.75,0.00
1.00,2.00,0.80,0.90,5000,2778,4232.60,4860,0,0.00,0,0.47,1.05,2.88,0.00
