Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,3429,4476.30,4991,0,0.00,0,0.37,0.62,1.00,0.00
1.00,2.00,0.80,0.20,5000,3102,4005.20,4716,0,0.00,0,0.34,0.65,0.95,0.00
1.00,2.00,0.80,0.50,5000,3247,4346.40,4957,0,0.00,0,0.34,0.65,1.29,0.00
1.00,2.00,0.80,0.70,5000,2309,4179.60,4946,0,0.00,0,0.44,0.70,1.05,0.00
1.00,2.00,0.80,1.00,5000,1001,3562.40,4992,0,0.00,0,0.36,0.80,1.20,0.00
1.00,2.00,0.80,0.80,5000,489,3666.60,4981,0,0.00,0,0.37,0.81,2.09,0.00
1.00,2.00,0.80,0.30,5000,2148,4211.10,4980,0,0.00,0,0.40,0.81,1.38,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.60,5000,1307,3963.70,4859,0,0.00,0,0.56,0.83,1.13,0.00
1.00,2.00,0.80,0.40,5000,1534,3737.10,4822,0,0.00,0,0.45,0.87,1.07,0.00
1.00,2.00,0.80,0.10,5000,3225,4512.30,4959,0,0.00,0,0.75,0.98,1.29,0.00
