Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,1509,3806.10,4974,0,0.00,0,0.33,0.61,1.06,0.00
1.00,2.00,0.80,0.50,5000,2145,3904.20,4935,0,0.00,0,0.37,0.69,1.39,0.00
1.00,2.00,0.80,0.30,5000,3021,4163.10,4975,0,0.00,0,0.45,0.72,1.00,0.00
1.00,2.00,0.80,0.90,5000,2089,3333.50,4791,0,0.00,0,0.41,0.77,1.38,0.00
1.00,2.00,0.80,0.60,5000,3488,4370.30,4923,0,0.00,0,0.43,0.80,1.61,0.00
1.00,2.00,0.80,0.20,5000,3259,4300.50,4921,0,0.00,0,0.41,0.81,1.52,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.40,5000,2226,4223.80,4960,0,0.00,0,0.40,0.82,1.60,0.00
1.00,2.00,0.80,0.80,5000,2403,4089.20,4873,0,0.00,0,0.44,0.89,1.67,0.00
1.00,2.00,0.80,0.10,5000,3443,4317.60,4998,0,0.00,0,0.57,0.89,1.53,0.00
1.00,2.00,0.80,0.70,5000,1224,3539.60,4873,0,0.00,0,0.40,0.95,1.30,0.00
