Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,5000,1670,3482.30,4906,0,0.00,0,0.41,0.62,1.00,0.00
1.00,2.00,0.80,0.30,5000,2930,3967.70,4947,0,0.00,0,0.44,0.71,1.05,0.00
1.00,2.00,0.80,0.40,5000,2791,4293.70,4991,0,0.00,0,0.43,0.71,1.35,0.00
1.00,2.00,0.80,0.20,5000,2860,4438.00,4999,0,0.00,0,0.41,0.74,0.91,0.00
1.00,2.00,0.80,0.60,5000,1279,2658.60,4505,0,0.00,0,0.47,0.74,1.07,0.00
1.00,2.00,0.80,0.10,5000,2471,4091.60,4740,0,0.00,0,0.40,0.75,1.30,0.00
1.00,2.00,0.80,0.90,5000,1474,3788.90,4881,0,0.00,0,0.46,0.80,1.17,0.00
1.00,2.00,0.80,1.00,5000,1316,3835.40,4531,0,0.00,0,0.39,0.81,1.55,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.70,5000,2679,3820.80,4962,0,0.00,0,0.38,0.83,1.58,0.00
1.00,2.00,0.80,0.80,5000,2996,4378.00,4964,0,0.00,0,0.35,0.84,1.64,0.00
