Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,0.00,5000,2191,4105.37,4942,0,0.00,0,0.27,0.63,1.20,0.00
1.00,2.00,0.80,0.90,0.00,5000,1463,4016.53,4975,0,0.00,0,0.30,0.68,1.31,0.00
1.00,2.00,0.80,0.20,0.25,5000,2545,4250.20,4944,0,0.00,0,0.39,0.69,1.50,0.00
1.00,2.00,0.80,0.20,0.50,5000,2545,4250.20,4944,0,0.00,0,0.39,0.69,1.50,0.00
1.00,2.00,0.80,0.20,0.75,5000,2545,4250.20,4944,0,0.00,0,0.39,0.69,1.50,0.00
1.00,2.00,0.80,0.20,1.00,5000,2545,4250.20,4944,0,0.00,0,0.39,0.69,1.50,0.00
1.00,2.00,0.80,0.70,0.25,5000,1833,3917.07,4967,0,0.00,0,0.34,0.70,1.18,0.00
1.00,2.00,0.80,0.70,0.50,5000,1833,3917.07,4967,0,0.00,0,0.34,0.70,1.18,0.00
1.00,2.00,0.80,0.70,0.75,5000,1833,3917.07,4967,0,0.00,0,0.34,0.70,1.18,0.00
1.00,2.00,0.80,0.70,1.00,5000,1833,3917.07,4967,0,0.00,0,0.34,0.70,1.18,0.00
1.00,2.00,0.80,1.00,0.25,5000,1756,4036.70,4968,0,0.00,0,0.29,0.71,1.40,0.00
1.00,2.00,0.80,1.00,0.50,5000,1756,4036.70,4968,0,0.00,0,0.29,0.71,1.40,0.00
1.00,2.00,0.80,1.00,0.75,5000,1756,4036.70,4968,0,0.00,0,0.29,0.71,1.40,0.00
1.00,2.00,0.80,1.00,1.00,5000,1756,4036.70,4968,0,0.00,0,0.29,0.71,1.40,0.00
1.00,2.00,0.80,0.70,0.00,5000,1206,3994.27,4999,0,0.00,0,0.34,0.72,1.38,0.00
1.00,2.00,0.80,0.50,0.25,5000,1810,4078.90,4967,0,0.00,0,0.32,0.72,1.67,0.00
1.00,2.00,0.80,0.50,0.50,5000,1810,4078.90,4967,0,0.00,0,0.32,0.72,1.67,0.00
1.00,2.00,0.80,0.50,0.75,5000,1810,4078.90,4967,0,0.00,0,0.32,0.72,1.67,0.00
1.00,2.00,0.80,0.50,1.00,5000,1810,4078.90,4967,0,0.00,0,0.32,0.72,1.67,0.00
1.00,2.00,0.80,1.00,0.00,5000,1130,3991.30,4951,0,0.00,0,0.35,0.72,1.76,0.00
1.00,2.00,0.80,0.30,0.00,5000,1943,3999.67,4998,0,0.00,0,0.38,0.73,2.01,0.00
1.00,2.00,0.80,0.90,0.25,5000,333,3376.13,4984,0,0.00,0,0.29,0.73,1.66,0.00
1.00,2.00,0.80,0.90,0.50,5000,333,3376.13,4984,0,0.00,0,0.29,0.73,1.66,0.00
1.00,2.00,0.80,0.90,0.75,5000,333,3376.13,4984,0,0.00,0,0.29,0.73,1.66,0.00
1.00,2.00,0.80,0.90,1.00,5000,333,3376.13,4984,0,0.00,0,0.29,0.73,1.66,0.00
1.00,2.00,0.80,0.60,0.00,5000,1019,3890.60,4954,0,0.00,0,0.36,0.73,1.46,0.00
1.00,2.00,0.80,0.40,0.00,5000,2283,4182.93,4990,0,0.00,0,0.35,0.73,1.45,0.00
1.00,2.00,0.80,0.30,0.25,5000,2635,4100.03,4998,0,0.00,0,0.37,0.74,1.26,0.00
1.00,2.00,0.80,0.30,0.50,5000,2635,4100.03,4998,0,0.00,0,0.37,0.74,1.26,0.00
1.00,2.00,0.80,0.30,0.75,5000,2635,4100.03,4998,0,0.00,0,0.37,0.74,1.26,0.00
1.00,2.00,0.80,0.30,1.00,5000,2635,4100.03,4998,0,0.00,0,0.37,0.74,1.26,0.00
1.00,2.00,0.80,0.80,0.25,5000,1389,3785.30,4975,0,0.00,0,0.33,0.75,1.39,0.00
1.00,2.00,0.80,0.80,0.50,5000,1389,3785.30,4975,0,0.00,0,0.33,0.75,1.39,0.00
1.00,2.00,0.80,0.80,0.75,5000,1389,3785.30,4975,0,0.00,0,0.33,0.75,1.39,0.00
1.00,2.00,0.80,0.80,1.00,5000,1389,3785.30,4975,0,0.00,0,0.33,0.75,1.39,0.00
1.00,2.00,0.80,0.50,0.00,5000,1962,3951.73,4959,0,0.00,0,0.39,0.77,1.84,0.00
1.00,2.00,0.80,0.10,0.00,5000,2925,4328.87,4996,0,0.00,0,0.40,0.77,1.22,0.00
1.00,2.00,0.80,0.40,0.25,5000,2510,4133.50,4952,0,0.00,0,0.43,0.78,1.12,0.00
1.00,2.00,0.80,0.40,0.50,5000,2510,4133.50,4952,0,0.00,0,0.43,0.78,1.12,0.00
1.00,2.00,0.80,0.40,0.75,5000,2510,4133.50,4952,0,0.00,0,0.43,0.78,1.12,0.00
1.00,2.00,0.80,0.40,1.00,5000,2510,4133.50,4952,0,0.00,0,0.43,0.78,1.12,0.00
1.00,2.00,0.80,0.60,0.25,5000,318,3785.80,4966,0,0.00,0,0.39,0.79,1.63,0.00
1.00,2.00,0.80,0.60,0.50,5000,318,3785.80,4966,0,0.00,0,0.39,0.79,1.63,0.00
1.00,2.00,0.80,0.60,0.75,5000,318,3785.80,4966,0,0.00,0,0.39,0.79,1.63,0.00
1.00,2.00,0.80,0.60,1.00,5000,318,3785.80,4966,0,0.00,0,0.39,0.79,1.63,0.00
1.00,2.00,0.80,0.20,0.00,5000,1914,4292.97,4967,0,0.00,0,0.42,0.82,1.86,0.00
1.00,2.00,0.80,0.10,0.25,5000,2600,4191.90,4910,0,0.00,0,0.43,0.84,1.67,0.00
1.00,2.00,0.80,0.10,0.50,5000,2600,4191.90,4910,0,0.00,0,0.43,0.84,1.67,0.00
1.00,2.00,0.80,0.10,0.75,5000,2600,4191.90,4910,0,0.00,0,0.43,0.84,1.67,0.00
1.00,2.00,0.80,0.10,1.00,5000,2600,4191.90,4910,0,0.00,0,0.43,0.84,1.67,0.00
1.00,2.00,0.80,0.00,0.00,5000,3692,4512.20,4986,0,0.00,0,0.47,0.86,1.90,0.00
