Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5000,1611,4042.60,4991,0,0.00,0,0.32,0.55,0.84,0.00
1.00,2.00,0.80,0.90,5000,1303,3658.80,4826,0,0.00,0,0.35,0.74,1.16,0.00
1.00,2.00,0.80,0.30,5000,2346,4152.40,4988,0,0.00,0,0.40,0.79,1.33,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.80,5000,1442,3956.10,4990,0,0.00,0,0.40,0.83,1.43,0.00
1.00,2.00,0.80,0.10,5000,2282,3935.90,4980,0,0.00,0,0.55,0.84,1.30,0.00
1.00,2.00,0.80,1.00,5000,3750,4379.10,4941,0,0.00,0,0.37,0.85,1.40,0.00
1.00,2.00,0.80,0.20,5000,2599,4326.60,4997,0,0.00,0,0.56,0.85,1.16,0.00
1.00,2.00,0.80,0.50,5000,2369,4230.90,4944,0,0.00,0,0.51,0.87,1.43,0.00
1.00,2.00,0.80,0.70,5000,2521,3641.10,4824,0,0.00,0,0.36,0.88,1.89,0.00
1.00,2.00,0.80,0.60,5000,1784,4030.40,4998,0,0.00,0,0.52,0.92,1.31,0.00
