Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,46,98,86,88,19,71,36,6,45,30,38,90,27,49,53,31,85,2,40,50,99,5,84,41,13,29,54,52,8,18,25,95,14,22,35,42,21,43,63,91,11,96,100,61,73,97,65,34,83,23,48,39,89,59,10,4,82,74,75,60,77,28,64,58,67,51,57,69,15,70,1,7,56,62,44,66,68,79,20,37,78,3,26,9,17,87,16,81,76,94,93,24,47,12,80,55,92,72,33,32]",39.60,25.74,27.31,28.71
"[0,46,98,86,88,19,1,26,9,45,30,38,84,27,49,53,31,85,58,67,99,5,2,29,54,52,8,18,73,14,22,35,42,83,39,95,97,65,34,21,23,48,59,10,4,41,13,82,74,75,89,43,63,25,61,91,11,96,100,60,77,28,64,90,40,50,51,57,69,15,70,71,36,6,17,87,16,81,76,3,7,78,94,37,56,62,44,66,68,79,20,93,24,47,12,80,55,92,72,33,32]",39.60,25.74,27.26,28.71
"[0,46,98,86,88,36,6,45,30,85,84,29,54,52,8,18,41,49,82,74,25,4,75,95,14,22,35,42,65,34,39,89,43,63,100,61,91,11,96,73,97,21,83,23,48,59,10,60,77,28,64,90,27,13,53,31,38,58,67,99,5,2,40,50,51,57,69,15,19,71,70,1,7,87,93,24,47,12,80,55,92,94,37,56,62,44,66,68,79,20,16,81,76,3,26,9,17,78,72,33,32]",38.61,25.74,28.06,29.70
"[0,12,3,19,71,70,1,7,56,62,44,66,68,79,20,93,24,47,46,98,86,88,36,6,45,30,38,90,40,31,85,58,28,64,84,29,54,52,8,4,91,11,96,100,18,41,49,82,74,25,61,73,97,65,34,22,35,14,83,23,89,43,63,75,95,42,21,39,48,59,10,60,77,67,99,5,2,27,13,53,50,51,57,69,15,26,9,17,87,16,81,76,80,55,92,94,37,78,72,33,32]",38.61,25.74,28.06,29.70
"[0,46,98,86,88,19,1,26,9,45,30,38,58,28,64,84,27,13,41,49,53,31,85,90,40,50,99,5,2,82,74,25,61,91,11,96,73,97,65,34,39,89,43,63,75,95,42,21,22,35,14,83,23,48,59,10,4,100,18,29,54,52,8,60,77,67,51,57,69,15,70,71,36,6,17,78,72,37,56,62,44,66,68,79,20,16,81,76,80,55,92,94,93,24,47,12,3,7,87,33,32]",38.61,25.74,28.06,29.70
"[0,12,72,37,78,3,19,71,36,6,45,30,85,58,67,99,5,84,27,13,41,49,82,74,91,11,96,100,18,29,54,52,8,4,25,61,73,97,21,39,89,43,63,75,95,14,22,35,42,65,34,83,23,48,59,10,60,77,28,64,2,53,31,38,90,40,50,51,57,69,15,70,1,7,56,62,44,46,98,86,88,26,9,17,87,93,24,47,66,68,79,20,16,81,76,80,55,92,94,33,32]",38.61,25.74,28.01,29.70
"[0,46,98,86,88,36,6,45,30,38,90,27,49,82,74,73,97,65,34,83,39,95,14,22,35,42,21,23,89,43,63,25,18,53,31,85,2,40,50,99,5,84,41,13,29,54,52,8,61,91,11,96,100,4,75,48,59,10,60,77,28,64,58,67,51,57,69,15,70,1,7,56,62,44,12,3,19,71,26,9,17,87,93,24,47,66,68,79,20,16,81,76,72,37,78,80,55,92,94,33,32]",38.61,25.74,28.00,29.70
"[0,46,98,86,88,7,56,62,44,66,68,79,20,16,81,76,80,55,92,72,37,78,94,93,24,47,12,3,19,71,36,6,45,30,38,90,27,13,29,54,52,8,18,41,49,53,31,85,58,67,99,5,84,82,74,73,97,21,43,63,25,4,75,95,14,65,34,22,35,42,83,23,48,39,96,100,61,91,11,89,59,10,60,77,28,64,2,40,50,51,57,69,15,70,1,26,9,17,87,33,32]",38.61,25.74,27.31,28.71
"[0,46,98,86,88,19,71,36,6,17,87,93,24,47,12,20,16,81,76,3,26,9,45,30,38,58,28,64,90,40,50,99,5,2,53,31,85,84,41,13,29,54,52,8,18,25,61,91,11,96,100,95,97,83,23,48,59,10,4,27,49,82,74,73,14,65,34,22,35,42,21,39,89,43,63,75,60,77,67,51,57,69,15,70,1,7,78,72,37,56,62,44,66,68,79,80,55,92,94,33,32]",38.61,25.74,27.25,28.71
"[0,46,98,86,88,36,6,45,30,38,90,40,31,85,58,28,64,84,27,13,41,49,53,50,99,5,2,82,74,91,11,89,43,63,25,18,29,54,52,8,61,73,14,65,34,22,35,42,83,23,48,59,10,4,75,95,97,21,39,96,100,60,77,67,51,57,69,15,70,1,7,56,62,44,66,68,79,20,93,24,47,12,80,55,76,94,37,78,3,19,71,26,9,17,87,16,81,92,72,33,32]",38.61,24.75,27.10,28.71
"[0,66,68,79,20,16,81,76,80,55,92,94,93,24,47,12,3,26,9,45,30,38,90,40,31,85,84,29,54,52,8,18,41,49,82,74,75,95,14,22,35,42,83,43,63,25,61,91,11,96,100,4,73,97,65,34,21,23,48,39,89,59,10,60,77,28,64,58,67,99,5,2,27,13,53,50,51,57,69,15,70,1,7,78,72,37,56,62,44,46,98,86,88,19,71,36,6,17,87,33,32]",38.61,24.75,26.63,28.71
"[0,46,98,86,88,19,71,26,9,45,30,38,58,28,64,2,40,31,85,90,53,50,99,5,84,29,54,52,8,18,41,49,27,13,82,74,75,4,91,11,96,100,95,14,83,43,63,25,61,73,97,22,35,42,65,34,21,23,48,39,89,59,10,60,77,67,51,57,69,15,70,1,7,78,3,36,6,17,87,93,24,47,12,72,37,56,62,44,66,68,79,20,16,81,76,80,55,92,94,33,32]",38.61,24.75,26.54,28.71
"[0,46,98,86,88,19,71,26,9,45,30,38,90,27,13,41,49,82,74,75,96,100,61,91,11,89,39,95,14,21,23,48,59,10,60,77,28,64,84,29,54,52,8,18,73,97,65,34,22,35,42,83,43,63,25,4,53,50,99,5,2,40,31,85,58,67,51,57,69,15,70,1,7,78,80,55,76,72,37,56,62,44,66,68,79,20,16,81,92,94,93,24,47,12,3,36,6,17,87,33,32]",38.61,23.76,26.49,27.72
"[0,46,98,86,88,19,71,36,6,17,87,93,24,47,12,3,26,9,45,30,85,84,41,13,29,54,52,8,18,73,14,83,43,63,25,61,91,11,96,100,4,27,49,82,74,75,95,97,65,34,22,35,42,21,23,89,39,48,59,10,60,77,28,64,90,53,50,99,5,2,40,31,38,58,67,51,57,69,15,70,1,7,56,62,44,66,68,79,20,16,81,76,80,55,92,72,37,78,94,33,32]",38.61,23.76,25.82,27.72
"[0,46,98,86,88,36,6,45,30,85,90,40,50,99,5,2,53,31,38,84,27,13,29,54,52,8,61,100,18,41,49,82,74,25,95,42,83,23,89,43,63,91,11,96,73,97,21,22,35,14,65,34,39,48,59,10,4,75,60,77,28,64,58,67,51,57,69,15,26,9,17,78,94,37,56,62,44,66,68,79,20,93,24,47,12,3,19,71,70,1,7,87,16,81,76,80,55,92,72,33,32]",37.62,25.74,28.06,29.70
"[0,46,98,86,88,7,56,62,44,66,68,79,3,19,71,36,6,45,30,38,58,28,64,90,27,13,53,50,99,5,2,40,31,85,84,29,54,52,8,18,41,49,82,74,100,61,91,11,96,73,97,22,35,42,65,34,83,23,48,59,10,4,25,95,14,21,39,89,43,63,75,60,77,67,51,57,69,15,70,1,26,9,17,87,16,81,76,94,93,24,47,12,20,37,78,80,55,92,72,33,32]",37.62,24.75,28.00,29.70
"[0,46,98,86,88,36,6,45,30,85,2,82,74,75,89,43,63,25,61,91,11,96,100,4,73,97,21,39,95,42,65,34,22,35,14,83,23,48,59,10,60,77,28,64,90,40,50,99,5,84,41,13,29,54,52,8,18,27,49,53,31,38,58,67,51,57,69,15,7,56,62,44,66,68,79,3,19,71,70,1,26,9,17,87,93,24,47,12,20,16,81,76,80,55,92,72,37,78,94,33,32]",37.62,25.74,28.00,29.70
"[0,46,98,86,88,19,71,26,9,45,30,85,2,53,31,38,58,28,64,90,40,50,99,5,84,29,54,52,8,18,41,13,27,49,82,74,100,4,25,61,91,11,89,43,63,75,95,42,21,22,35,14,65,34,39,96,73,97,83,23,48,59,10,60,77,67,51,57,69,15,70,1,7,78,72,37,56,62,44,66,68,79,20,16,81,76,80,55,92,94,93,24,47,12,3,36,6,17,87,33,32]",37.62,25.74,28.00,29.70
"[0,12,3,19,71,70,1,26,9,45,30,85,2,27,13,41,49,82,74,91,11,96,100,60,77,67,99,5,84,29,54,52,8,18,75,95,14,22,35,42,65,34,83,39,89,43,63,25,61,73,97,21,23,48,59,10,4,53,31,38,58,28,64,90,40,50,51,57,69,15,7,87,16,81,76,80,55,92,94,93,24,47,46,98,86,88,36,6,17,56,62,44,66,68,79,20,37,78,72,33,32]",37.62,25.74,28.00,29.70
"[0,46,98,86,88,26,9,45,30,38,58,67,99,5,84,27,13,82,74,75,95,14,65,34,22,35,42,21,23,48,59,10,4,73,97,83,39,89,43,63,25,61,91,11,96,100,18,41,49,53,31,85,2,29,54,52,8,60,77,28,64,90,40,50,51,57,69,15,70,1,7,56,62,44,12,3,19,71,36,6,17,87,16,81,92,94,93,24,47,66,68,79,20,37,78,80,55,76,72,33,32]",37.62,25.74,27.83,29.70
"[0,66,68,79,72,37,56,62,44,46,98,86,88,36,6,45,30,38,58,67,99,5,2,29,54,52,8,61,91,11,96,100,89,43,63,75,4,41,13,27,49,82,74,25,18,73,14,22,35,42,21,39,95,97,65,34,83,23,48,59,10,60,77,28,64,90,40,31,85,84,53,50,51,57,69,15,70,1,7,78,3,19,71,26,9,17,87,16,81,76,80,55,92,94,93,24,47,12,20,33,32]",37.62,25.74,27.23,28.71
"[0,12,3,19,1,7,78,80,55,92,72,37,56,62,44,46,98,86,88,26,9,45,30,85,58,67,99,5,84,29,54,52,8,61,91,11,89,43,63,25,18,75,95,97,65,34,22,35,14,21,39,96,100,4,27,13,41,49,82,74,73,42,83,23,48,59,10,60,77,28,64,2,53,31,38,90,40,50,51,57,69,15,70,71,36,6,17,87,16,81,76,94,93,24,47,66,68,79,20,33,32]",37.62,25.74,27.19,28.71
"[0,46,98,86,88,36,6,45,30,38,90,40,31,85,2,29,54,52,8,4,41,13,82,74,75,95,97,21,39,89,43,63,25,61,100,18,91,11,96,73,14,22,35,42,65,34,83,23,48,59,10,60,77,28,64,58,67,99,5,84,27,49,53,50,51,57,69,15,70,71,7,87,93,24,47,12,3,19,1,26,9,17,78,80,55,92,72,37,56,62,44,66,68,79,20,16,81,76,94,33,32]",37.62,25.74,27.18,28.71
"[0,46,98,86,88,19,71,7,87,93,24,47,12,3,36,6,45,30,85,2,41,49,53,31,38,90,40,50,99,5,84,27,13,82,74,25,61,91,11,96,100,95,97,65,34,22,35,42,21,39,48,59,10,4,29,54,52,8,18,73,14,83,23,89,43,63,75,60,77,28,64,58,67,51,57,69,15,70,1,26,9,17,78,94,37,56,62,44,66,68,79,20,16,81,76,80,55,92,72,33,32]",37.62,25.74,27.18,28.71
"[0,46,98,86,88,36,6,45,30,85,90,27,13,41,49,82,74,25,18,29,54,52,8,61,91,11,89,23,48,59,10,4,73,97,65,34,22,35,14,83,43,63,75,95,42,21,39,96,100,60,77,28,64,84,53,31,38,58,67,99,5,2,40,50,51,57,69,15,70,1,7,78,80,55,92,94,37,56,62,44,12,20,93,24,47,66,68,79,3,19,71,26,9,17,87,16,81,76,72,33,32]",37.62,24.75,26.61,28.71
"[0,12,3,26,9,45,30,38,90,27,13,29,54,52,8,18,82,74,91,11,96,73,14,65,34,22,35,42,21,43,63,75,4,25,61,100,95,97,83,23,48,39,89,59,10,60,77,28,64,84,41,49,53,50,99,5,2,40,31,85,58,67,51,57,69,15,70,71,36,6,17,56,62,44,46,98,86,88,19,1,7,87,16,81,76,80,55,92,94,93,24,47,66,68,79,20,37,78,72,33,32]",37.62,24.75,26.53,27.72
"[0,46,98,86,88,36,6,45,30,85,90,27,13,29,54,52,8,61,73,14,65,34,22,35,42,83,23,89,39,48,59,10,4,25,18,82,74,75,95,97,21,43,63,91,11,96,100,60,77,28,64,58,67,99,5,2,40,31,38,84,41,49,53,50,51,57,69,15,70,71,7,87,93,24,47,12,80,55,76,3,19,1,26,9,17,56,62,44,66,68,79,20,16,81,92,94,37,78,72,33,32]",37.62,23.76,26.39,27.72
"[0,66,68,79,3,19,1,26,9,45,30,38,90,40,50,99,5,2,53,31,85,58,28,64,84,82,74,91,11,96,100,18,41,49,27,13,29,54,52,8,4,25,61,73,14,21,39,89,43,63,75,95,42,22,35,97,65,34,83,23,48,59,10,60,77,67,51,57,69,15,70,71,7,78,94,37,56,62,44,12,20,93,24,47,46,98,86,88,36,6,17,87,16,81,76,80,55,92,72,33,32]",37.62,24.75,26.30,27.72
"[0,12,3,19,1,26,9,17,78,72,37,56,62,44,46,98,86,88,36,6,45,30,85,90,27,13,29,54,52,8,18,82,74,25,95,42,22,35,97,21,23,48,59,10,4,91,11,96,100,61,73,14,65,34,83,39,89,43,63,75,60,77,28,64,2,40,50,99,5,84,41,49,53,31,38,58,67,51,57,69,15,70,71,7,87,16,81,76,80,55,92,94,93,24,47,66,68,79,20,33,32]",37.62,24.75,26.27,27.72
"[0,46,98,86,88,19,71,36,6,17,56,62,44,66,68,79,20,93,24,47,12,3,26,9,45,30,38,58,28,64,90,27,49,53,31,85,84,41,13,29,54,52,8,4,91,11,96,100,18,82,74,25,61,73,14,65,34,22,35,42,83,43,63,75,95,97,21,39,48,23,89,59,10,60,77,67,99,5,2,40,50,51,57,69,15,70,1,7,87,16,81,76,80,55,92,94,37,78,72,33,32]",37.62,23.76,25.81,27.72
